Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Radius
Arlington,Baltimore,MD,39.3481652,-76.6831397,250.0
Ashburton,Baltimore,MD,39.3267715,-76.6744784,250.0
Burleigh-Leighton,Baltimore,MD,39.319664,-76.659813,250.0
Callaway-Garrison,Baltimore,MD,39.3325396,-76.6802526,250.0
Central Forest Park,Baltimore,MD,39.3264513,-76.68819180000001,250.0
Central Park Heights,Baltimore,MD,39.3442762,-76.6715911,250.0
Cheswolde,Baltimore,MD,39.3682118,-76.6802526,250.0
Cross Country,Baltimore,MD,39.3680087,-76.70046049999999,250.0
Dolfield,Baltimore,MD,39.3355407,-76.67497209999999,250.0
Dorchester,Baltimore,MD,39.3306608,-76.6860267,250.0
East Arlington,Baltimore,MD,39.3311985,-76.6687038,250.0
Fallstaff,Baltimore,MD,39.3635826,-76.70623359999999,250.0
Forest Park/Howard Area,Baltimore,MD,39.3312176,-76.6946932,250.0
Gwynn Oak,Baltimore,MD,39.3359385,-76.6977522,250.0
Glen,Baltimore,MD,39.3553726,-76.69035699999999,250.0
Grove Park,Baltimore,MD,39.3403151,-76.7033471,250.0
Hanlon Park – Longwood,Baltimore,MD,39.31662559999999,-76.66942569999999,250.0
Howard Park,Baltimore,MD,39.3312176,-76.6946932,250.0
Langston Hughes,Baltimore,MD,39.343287,-76.6795309,250.0
Liberty Square,Baltimore,MD,39.3216563,-76.6578759,250.0
Lucille Park,Baltimore,MD,39.3404035,-76.6766438,250.0
Northwest Community Action,Baltimore,MD,39.30592439999999,-76.6650946,250.0
Park Circle,Baltimore,MD,39.3276431,-76.66004149999999,250.0
Park Heights,Baltimore,MD,39.3442762,-76.6715911,250.0
Pimlico,Baltimore,MD,39.3522557,-76.6744784,250.0
Purnell,Baltimore,MD,39.320533,-76.7065867,250.0
Reisterstown Station,Baltimore,MD,39.3513916,-76.7086187,250.0
Towanda-Grantley,Baltimore,MD,39.337119,-76.6679774,250.0
West Forest Park,Baltimore,MD,39.3211342,-76.69180039999999,250.0
Windsor Hills,Baltimore,MD,39.31791520000001,-76.6860267,250.0
Woodmoor,Baltimore,MD,39.3384396,-76.7330281,250.0
Rosemont,Baltimore,MD,39.3060415,-76.6715911,250.0
Abell,Baltimore,MD,39.3244736,-76.6109441,250.0
Bellona-Gittings,Baltimore,MD,39.3691329,-76.6224981,250.0
Better Waverly,Baltimore,MD,39.3232464,-76.6058888,250.0
Barclay,Baltimore,MD,39.3149999,-76.6116662,250.0
Cameron Village,Baltimore,MD,39.3569685,-76.60011120000001,250.0
Cedarcroft,Baltimore,MD,39.3699478,-76.61311049999999,250.0
Charles North,Baltimore,MD,39.3312229,-76.6180091,250.0
Charles Village,Baltimore,MD,39.3200501,-76.6167212,250.0
Chinquapin Park-Belvedere,Baltimore,MD,39.3642261,-76.6022778,250.0
Cold Spring,Baltimore,MD,39.3459841,-76.6549142,250.0
Village of Cross Keys,Baltimore,MD,39.3573288,-76.646636,250.0
Cylburn,Baltimore,MD,39.3483659,-76.66292899999999,250.0
Edgecomb,Baltimore,MD,39.3425488,-76.6622072,250.0
Evergreen,Baltimore,MD,39.3464958,-76.6304409,250.0
Govans,Baltimore,MD,39.3500792,-76.6077528,250.0
Glen Oaks,Baltimore,MD,39.3660979,-76.59649999999999,250.0
Greenspring,Baltimore,MD,39.3378375,-76.66004149999999,250.0
Guilford,Baltimore,MD,39.3415428,-76.61527699999999,250.0
Hampden,Baltimore,MD,39.33337059999999,-76.632607,250.0
Harwood,Baltimore,MD,39.3200976,-76.6116662,250.0
Hoes Heights,Baltimore,MD,39.3402458,-76.63693920000001,250.0
Homeland,Baltimore,MD,39.3575025,-76.62105389999999,250.0
Kenilworth Park,Baltimore,MD,39.3542735,-76.59802289999999,250.0
Kernewood,Baltimore,MD,39.3459173,-76.6145548,250.0
Keswick,Baltimore,MD,39.342121,-76.631163,250.0
Lake Evesham,Baltimore,MD,39.3662961,-76.6145548,250.0
Lake Walker,Baltimore,MD,39.3696571,-76.60516659999999,250.0
Levindale,Baltimore,MD,39.3537973,-76.66581649999999,250.0
Loyola-Notre Dame,Baltimore,MD,39.34985,-76.6170085,250.0
Mid-Charles,Baltimore,MD,39.3487546,-76.6224981,250.0
Mid-Govans,Baltimore,MD,39.3598066,-76.6080554,250.0
Mount Washington,Baltimore,MD,39.36253019999999,-76.6595727,250.0
Medfield,Baltimore,MD,39.3398124,-76.6441591,250.0
New North Roland Park-Poplar Hill,Baltimore,MD,39.3660584,-76.6398272,250.0
Oakenshawe,Baltimore,MD,39.3299076,-76.6138327,250.0
Old Goucher,Baltimore,MD,39.3149523,-76.6167212,250.0
The Orchards,Baltimore,MD,39.36725939999999,-76.62827469999999,250.0
Pen Lucy,Baltimore,MD,39.3390889,-76.60516659999999,250.0
Radnor-Winston,Baltimore,MD,39.3495703,-76.61311049999999,250.0
Remington,Baltimore,MD,39.3206574,-76.6227009,250.0
Richnor Springs,Baltimore,MD,39.3463484,-76.6073332,250.0
Roland Park,Baltimore,MD,39.3544272,-76.63838319999999,250.0
Rosebank,Baltimore,MD,39.363412,-76.6116662,250.0
Sabina Mattefeldt,Baltimore,MD,39.3652407,-76.6492128,250.0
Saint Paul,Baltimore,MD,39.2689762,-76.6434372,250.0
Station North Arts and Entertainment District,Baltimore,MD,39.3098541,-76.6167212,250.0
Tuscany-Canterbury,Baltimore,MD,39.338563,-76.6224981,250.0
Waverly,Baltimore,MD,39.3321659,-76.6058888,250.0
Wilson Park,Baltimore,MD,39.3434634,-76.60444439999999,250.0
Winston-Govans,Baltimore,MD,39.3496172,-76.6080554,250.0
Woodberry,Baltimore,MD,39.3317734,-76.64941360000002,250.0
Woodbourne Heights,Baltimore,MD,39.3573982,-76.5928888,250.0
Woodbourne-McCabe,Baltimore,MD,39.35271729999999,-76.6073332,250.0
Wyman Park,Baltimore,MD,39.3308703,-76.6275527,250.0
Wyndhurst,Baltimore,MD,39.35740730000001,-76.631163,250.0
Arcadia,Baltimore,MD,39.3318111,-76.56471739999999,250.0
