Neighborhood,City,State,Latitude,Longitude
Arlington,Baltimore,MD,39.3481652,-76.6831397
Ashburton,Baltimore,MD,39.3267715,-76.6744784
Burleigh-Leighton,Baltimore,MD,39.319664,-76.659813
Callaway-Garrison,Baltimore,MD,39.3325396,-76.6802526
Central Forest Park,Baltimore,MD,39.3264513,-76.68819180000001
Central Park Heights,Baltimore,MD,39.3442762,-76.6715911
Cheswolde,Baltimore,MD,39.3682118,-76.6802526
Cross Country,Baltimore,MD,39.3680087,-76.70046049999999
Dolfield,Baltimore,MD,39.3355407,-76.67497209999999
Dorchester,Baltimore,MD,39.3306608,-76.6860267
East Arlington,Baltimore,MD,39.3311985,-76.6687038
Fallstaff,Baltimore,MD,39.3635826,-76.70623359999999
Forest Park/Howard Area,Baltimore,MD,39.3312176,-76.6946932
Gwynn Oak,Baltimore,MD,39.3359385,-76.6977522
Glen,Baltimore,MD,39.3553726,-76.69035699999999
Grove Park,Baltimore,MD,39.3403151,-76.7033471
Hanlon Park – Longwood,Baltimore,MD,39.31662559999999,-76.66942569999999
Howard Park,Baltimore,MD,39.3312176,-76.6946932
Langston Hughes,Baltimore,MD,39.343287,-76.6795309
Liberty Square,Baltimore,MD,39.3216563,-76.6578759
Lucille Park,Baltimore,MD,39.3404035,-76.6766438
Northwest Community Action,Baltimore,MD,39.30592439999999,-76.6650946
Park Circle,Baltimore,MD,39.3276431,-76.66004149999999
Park Heights,Baltimore,MD,39.3442762,-76.6715911
Pimlico,Baltimore,MD,39.3522557,-76.6744784
Purnell,Baltimore,MD,39.320533,-76.7065867
Reisterstown Station,Baltimore,MD,39.3513916,-76.7086187
Towanda-Grantley,Baltimore,MD,39.337119,-76.6679774
West Forest Park,Baltimore,MD,39.3211342,-76.69180039999999
Windsor Hills,Baltimore,MD,39.31791520000001,-76.6860267
Woodmoor,Baltimore,MD,39.3384396,-76.7330281
Rosemont,Baltimore,MD,39.3060415,-76.6715911
Abell,Baltimore,MD,39.3244736,-76.6109441
Bellona-Gittings,Baltimore,MD,39.3691329,-76.6224981
Better Waverly,Baltimore,MD,39.3232464,-76.6058888
Barclay,Baltimore,MD,39.3149999,-76.6116662
Cameron Village,Baltimore,MD,39.3569685,-76.60011120000001
Cedarcroft,Baltimore,MD,39.3699478,-76.61311049999999
Charles North,Baltimore,MD,39.3312229,-76.6180091
Charles Village,Baltimore,MD,39.3200501,-76.6167212
Chinquapin Park-Belvedere,Baltimore,MD,39.3642261,-76.6022778
Cold Spring,Baltimore,MD,39.3459841,-76.6549142
Village of Cross Keys,Baltimore,MD,39.3573288,-76.646636
Cylburn,Baltimore,MD,39.3483659,-76.66292899999999
Edgecomb,Baltimore,MD,39.3425488,-76.6622072
Evergreen,Baltimore,MD,39.3464958,-76.6304409
Govans,Baltimore,MD,39.3500792,-76.6077528
Glen Oaks,Baltimore,MD,39.3660979,-76.59649999999999
Greenspring,Baltimore,MD,39.3378375,-76.66004149999999
Guilford,Baltimore,MD,39.3415428,-76.61527699999999
Hampden,Baltimore,MD,39.33337059999999,-76.632607
Harwood,Baltimore,MD,39.3200976,-76.6116662
Hoes Heights,Baltimore,MD,39.3402458,-76.63693920000001
Homeland,Baltimore,MD,39.3575025,-76.62105389999999
Kenilworth Park,Baltimore,MD,39.3542735,-76.59802289999999
Kernewood,Baltimore,MD,39.3459173,-76.6145548
Keswick,Baltimore,MD,39.342121,-76.631163
Lake Evesham,Baltimore,MD,39.3662961,-76.6145548
Lake Walker,Baltimore,MD,39.3696571,-76.60516659999999
Levindale,Baltimore,MD,39.3537973,-76.66581649999999
Loyola-Notre Dame,Baltimore,MD,39.34985,-76.6170085
Mid-Charles,Baltimore,MD,39.3487546,-76.6224981
Mid-Govans,Baltimore,MD,39.3598066,-76.6080554
Mount Washington,Baltimore,MD,39.36253019999999,-76.6595727
Medfield,Baltimore,MD,39.3398124,-76.6441591
New North Roland Park-Poplar Hill,Baltimore,MD,39.3660584,-76.6398272
Oakenshawe,Baltimore,MD,39.3299076,-76.6138327
Old Goucher,Baltimore,MD,39.3149523,-76.6167212
The Orchards,Baltimore,MD,39.36725939999999,-76.62827469999999
Pen Lucy,Baltimore,MD,39.3390889,-76.60516659999999
Radnor-Winston,Baltimore,MD,39.3495703,-76.61311049999999
Remington,Baltimore,MD,39.3206574,-76.6227009
Richnor Springs,Baltimore,MD,39.3463484,-76.6073332
Roland Park,Baltimore,MD,39.3544272,-76.63838319999999
Rosebank,Baltimore,MD,39.363412,-76.6116662
Sabina Mattefeldt,Baltimore,MD,39.3652407,-76.6492128
Saint Paul,Baltimore,MD,39.2689762,-76.6434372
Station North Arts and Entertainment District,Baltimore,MD,39.3098541,-76.6167212
Tuscany-Canterbury,Baltimore,MD,39.338563,-76.6224981
Waverly,Baltimore,MD,39.3321659,-76.6058888
Wilson Park,Baltimore,MD,39.3434634,-76.60444439999999
Winston-Govans,Baltimore,MD,39.3496172,-76.6080554
Woodberry,Baltimore,MD,39.3317734,-76.64941360000002
Woodbourne Heights,Baltimore,MD,39.3573982,-76.5928888
Woodbourne-McCabe,Baltimore,MD,39.35271729999999,-76.6073332
Wyman Park,Baltimore,MD,39.3308703,-76.6275527
Wyndhurst,Baltimore,MD,39.35740730000001,-76.631163
Arcadia,Baltimore,MD,39.3318111,-76.56471739999999
Armistead Gardens,Baltimore,MD,39.3049721,-76.55315809999999
Belair-Edison,Baltimore,MD,39.3216614,-76.5737173
Belair-Parkside,Baltimore,MD,39.3297931,-76.5665235
Beverly Hills,Baltimore,MD,39.3392737,-76.5702439
Cedmont,Baltimore,MD,39.3462558,-76.53581729999999
Cedonia,Baltimore,MD,39.3306314,-76.53292689999999
Christopher,Baltimore,MD,39.362041,-76.5618277
Coldstream-Homestead-Montebello,Baltimore,MD,39.3227872,-76.59649999999999
Orchard Ridge,Baltimore,MD,39.3120872,-76.5597603
Ednor Gardens-Lakeside,Baltimore,MD,39.3304324,-76.59649999999999
Four by Four,Baltimore,MD,39.2825192,-76.602252
Frankford,Baltimore,MD,39.33110790000001,-76.54359769999999
Gardenville,Baltimore,MD,39.3309404,-76.5610767
Glenham-Belford,Baltimore,MD,39.3493942,-76.5517132
Hamilton,Baltimore,MD,39.35649590000001,-76.5569101
Harford-Echodale-Perring Parkway,Baltimore,MD,39.3616138,-76.56905189999999
Hillen,Baltimore,MD,39.33994939999999,-76.590722
Hollander Ridge,Baltimore,MD,39.315895,-76.5322043
Idlewood,Baltimore,MD,39.37010679999999,-76.5891338
Lauraville,Baltimore,MD,39.3455647,-76.5733862
Loch Raven,Baltimore,MD,39.3881624,-76.5696889
