Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ashburton,39.3267715,-76.67447840000001,Cantys Helping Hands Homecare Services LLC,39.32778,-76.67301,Home Service
Central Park Heights,39.3442762,-76.6715911,Yummy's Deli & Grocery,39.345295,-76.671749,Deli / Bodega
Dolfield,39.3355407,-76.67497209999998,ALDI,39.335328425559176,-76.67600767454132,Grocery Store
Dolfield,39.3355407,-76.67497209999998,BP,39.336090352825465,-76.67586602898568,Gas Station
Dolfield,39.3355407,-76.67497209999998,Legends Pizza And Wings,39.33621407206904,-76.67423066645046,Pizza Place
Dolfield,39.3355407,-76.67497209999998,Arlington Chick Fish,39.334528995169,-76.67434685987851,Fried Chicken Joint
Dolfield,39.3355407,-76.67497209999998,Lee's Chinese,39.33452,-76.67436,Chinese Restaurant
Dolfield,39.3355407,-76.67497209999998,Dolfield Food Mart & Deli,39.336205,-76.676191,Deli / Bodega
Dolfield,39.3355407,-76.67497209999998,Dolfield Liquors,39.335783,-76.674751,Liquor Store
Dolfield,39.3355407,-76.67497209999998,Mary's Carryout,39.334894,-76.67474200000001,Food
Dolfield,39.3355407,-76.67497209999998,West Cold Spring Metro Stop,39.33637924640368,-76.67258508477825,Metro Station
Dolfield,39.3355407,-76.67497209999998,Bitcoin of America - Bitcoin ATM,39.334812,-76.672318,Financial or Legal Service
Forest Park/Howard Area,39.3312176,-76.6946932,ShopRite of Howard Park,39.330572749010614,-76.69535742314419,Grocery Store
Forest Park/Howard Area,39.3312176,-76.6946932,Wells Fargo,39.3314178,-76.6968548,Bank
Forest Park/Howard Area,39.3312176,-76.6946932,BP,39.331527,-76.695247,Gas Station
Forest Park/Howard Area,39.3312176,-76.6946932,New York Fried Chicken,39.33165,-76.69573199999999,Fried Chicken Joint
Forest Park/Howard Area,39.3312176,-76.6946932,4 G's Liquor Store,39.331341657744815,-76.6956766645904,Liquor Store
Gwynn Oak,39.3359385,-76.6977522,DIRECTV,39.33451461791992,-76.69873046875,Business Service
Glen,39.3553726,-76.69035699999998,Glen ave & ParkHeights,39.35571572522034,-76.68808188876552,Bus Stop
Glen,39.3553726,-76.69035699999998,54 & 58 bus,39.35658213748523,-76.68986926757245,Bus Stop
Grove Park,39.3403151,-76.70334709999999,Steger Construction Inc.,39.34163,-76.70294,Construction & Landscaping
Howard Park,39.3312176,-76.6946932,ShopRite of Howard Park,39.330572749010614,-76.69535742314419,Grocery Store
Howard Park,39.3312176,-76.6946932,Wells Fargo,39.3314178,-76.6968548,Bank
Howard Park,39.3312176,-76.6946932,BP,39.331527,-76.695247,Gas Station
Howard Park,39.3312176,-76.6946932,New York Fried Chicken,39.33165,-76.69573199999999,Fried Chicken Joint
Howard Park,39.3312176,-76.6946932,4 G's Liquor Store,39.331341657744815,-76.6956766645904,Liquor Store
Langston Hughes,39.343287,-76.6795309,Family Dollar,39.344235999999995,-76.681895,Discount Store
Langston Hughes,39.343287,-76.6795309,C C Lounge,39.34227572850289,-76.67891045459791,Bar
Liberty Square,39.3216563,-76.65787590000002,Sankofa Dance Theater,39.32331085205078,-76.65967559814453,Dance Studio
Lucille Park,39.3404035,-76.6766438,Gifted Hands Craft Shop,39.34091725142334,-76.67646049133913,Arts & Crafts Store
Lucille Park,39.3404035,-76.6766438,The Rev. Dr. Graham Bryant Legacy Community Park,39.3402569889723,-76.67471239649149,Playground
Northwest Community Action,39.30592439999999,-76.6650946,Rosemont Brothers Grocery & Deli,39.304966,-76.66721,Deli / Bodega
Northwest Community Action,39.30592439999999,-76.6650946,cakes by cynthia,39.30648711913004,-76.66780436632784,Bakery
Park Heights,39.3442762,-76.6715911,Yummy's Deli & Grocery,39.345295,-76.671749,Deli / Bodega
Pimlico,39.3522557,-76.67447840000001,Pimlico Race Course,39.353123817543036,-76.67527914047241,Racetrack
Towanda-Grantley,39.337119,-76.66797740000001,Burger King,39.339108224283,-76.6685119271279,Fast Food Restaurant
Towanda-Grantley,39.337119,-76.66797740000001,Tyrone's Chicken,39.338489,-76.668161,Fried Chicken Joint
Towanda-Grantley,39.337119,-76.66797740000001,Cameron's Seafood Market,39.339035383289314,-76.66760114463149,Fish Market
