Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ballantyne,35.046907899999994,-80.84547020000002,City Barbeque,35.04356040688889,-80.84777280702365,American Restaurant
Ballantyne,35.046907899999994,-80.84547020000002,Publix at Ballantyne Town Center,35.04255098783285,-80.84959636149136,Grocery Store
Ballantyne,35.046907899999994,-80.84547020000002,Walgreens,35.0425951,-80.8477341,Pharmacy
Ballantyne,35.046907899999994,-80.84547020000002,Bad Daddy's Burger Bar,35.052694496128666,-80.84753036499022,Burger Joint
Ballantyne,35.046907899999994,-80.84547020000002,Starbucks,35.0427131652832,-80.8497314453125,Coffee Shop
Ballantyne,35.046907899999994,-80.84547020000002,Great Clips,35.0433172,-80.8493986,Salon / Barbershop
Ballantyne,35.046907899999994,-80.84547020000002,Marco's Pizza,35.0430506560983,-80.84945598937875,Pizza Place
Ballantyne,35.046907899999994,-80.84547020000002,Redbox,35.04254913330078,-80.84761810302734,Video Store
Ballantyne,35.046907899999994,-80.84547020000002,Sushi Counter,35.042605,-80.84959599999999,Grocery Store
Ballantyne,35.046907899999994,-80.84547020000002,Lennar at Ardrey North,35.0475283,-80.8385697,Home Service
Biddleville,35.2445936,-80.8576911,Church's Chicken,35.24153512,-80.85897797,Fried Chicken Joint
Biddleville,35.2445936,-80.8576911,Bella Fresco Cafe - W Trade St,35.24637263016971,-80.86248636245728,Mediterranean Restaurant
Biddleville,35.2445936,-80.8576911,Neighborhood Cafe,35.239674,-80.85897299999999,Café
Biddleville,35.2445936,-80.8576911,Off The Map,35.24135292313481,-80.86248570293493,Nightclub
Brooklyn,35.220104600000006,-80.84193069999998,Hampton by Hilton,35.2200748,-80.842473,Hotel
Brooklyn,35.220104600000006,-80.84193069999998,NASCAR Hall of Fame,35.22123930507594,-80.84347486495972,Museum
Brooklyn,35.220104600000006,-80.84193069999998,Hyatt Place Charlotte Downtown,35.222613304498914,-80.84104079751114,Hotel
Brooklyn,35.220104600000006,-80.84193069999998,Fahrenheit,35.222547,-80.8410225,New American Restaurant
Brooklyn,35.220104600000006,-80.84193069999998,Gyu-Kaku Japanese BBQ,35.218216,-80.843074,Japanese Restaurant
Brooklyn,35.220104600000006,-80.84193069999998,Marshall Park,35.21915695924983,-80.83898172552404,Park
Brooklyn,35.220104600000006,-80.84193069999998,Whole Foods Market,35.221300537717596,-80.84621079927176,Grocery Store
Brooklyn,35.220104600000006,-80.84193069999998,Childress Klein YMCA,35.223675,-80.84452610000001,Gym
Brooklyn,35.220104600000006,-80.84193069999998,Showmars,35.221416324071726,-80.83948647036716,Greek Restaurant
Brooklyn,35.220104600000006,-80.84193069999998,Hyatt House Charlotte/Center City,35.22412104866454,-80.83912237234372,Hotel
Brooklyn,35.220104600000006,-80.84193069999998,Le Méridien Charlotte,35.2173787,-80.8387142,Hotel
Brooklyn,35.220104600000006,-80.84193069999998,Mecklenburg County Aquatic Center,35.21699449027376,-80.84091448129143,Pool
Brooklyn,35.220104600000006,-80.84193069999998,Spectrum Center,35.225251962340224,-80.83926478657453,Basketball Stadium
Brooklyn,35.220104600000006,-80.84193069999998,Johnny Burrito,35.224705541571545,-80.84474435120461,Burrito Place
Brooklyn,35.220104600000006,-80.84193069999998,Hornets Fan Shop,35.22547829314297,-80.84033982339695,Souvenir Shop
Brooklyn,35.220104600000006,-80.84193069999998,Epicentre,35.225615402649694,-80.84198083366203,Shopping Mall
Brooklyn,35.220104600000006,-80.84193069999998,Harvey B. Gantt Center for African-American Arts + Culture,35.22348028971368,-80.84820432701365,Art Gallery
Brooklyn,35.220104600000006,-80.84193069999998,The Green,35.2237321369629,-80.84674421679831,Park
Brooklyn,35.220104600000006,-80.84193069999998,The Westin Charlotte,35.2221036,-80.8472698,Hotel
Brooklyn,35.220104600000006,-80.84193069999998,Dowd YMCA,35.21777797102174,-80.84881909412323,Gym
Brooklyn,35.220104600000006,-80.84193069999998,The Punch Room,35.22635447916386,-80.84174681535497,Hotel Bar
