Neighborhood,City,State,Latitude,Longitude
10th & Page,Charlottesville,VA,38.0351163,-78.49339979999999
Barracks/Rugby,Charlottesville,VA,38.0473175,-78.4894015
Belmont-Carlton,Charlottesville,VA,38.0221102,-78.4688601
Fifeville,Charlottesville,VA,38.0269891,-78.4950837
Fry's Spring,Charlottesville,VA,38.0167778,-78.51070829999999
Greenbrier,Charlottesville,VA,38.056636,-78.478036
Jefferson Park Avenue,Charlottesville,VA,38.0284661,-78.50991069999999
Johnson Village,Charlottesville,VA,38.018549,-78.5021861
Lewis Mountain,Charlottesville,VA,38.0402828,-78.51070829999999
Locust Grove,Charlottesville,VA,38.0445054,-78.4609854
Martha Jefferson,Charlottesville,VA,38.0244327,-78.44304869999999
The Meadows,Charlottesville,VA,38.060242,-78.4972339
North Downtown,Charlottesville,VA,38.0357496,-78.478036
Ridge Street,Charlottesville,VA,38.0244314,-78.4898782
Rose Hill,Charlottesville,VA,38.0384807,-78.48584989999999
Starr Hill,Charlottesville,VA,38.032093,-78.48727060000002
Venable,Charlottesville,VA,38.0432183,-78.50076570000002
Woolen Mills,Charlottesville,VA,38.020366,-78.4561895
