Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
10th & Page,38.03511629999999,-78.49339979999998,Peloton Station,38.033243,-78.494078,Sports Bar
10th & Page,38.03511629999999,-78.49339979999998,Sugar Shack Donuts & Coffee,38.032918,-78.494927,Donut Shop
10th & Page,38.03511629999999,-78.49339979999998,Red Hub Food Co.,38.033959,-78.493684,BBQ Joint
10th & Page,38.03511629999999,-78.49339979999998,Hardywood Pilot Brewery & Taproom,38.032495950253185,-78.49509307583652,Brewery
10th & Page,38.03511629999999,-78.49339979999998,"The Draftsman, Autograph Collection",38.03261317552385,-78.49644541740412,Hotel
10th & Page,38.03511629999999,-78.49339979999998,Potbelly's,38.03257,-78.49405,Sandwich Place
10th & Page,38.03511629999999,-78.49339979999998,Kung Fu Tea,38.032951944038615,-78.4949222104334,Bubble Tea Shop
10th & Page,38.03511629999999,-78.49339979999998,Hampton Inn & Suites,38.0322773,-78.4945783,Hotel
10th & Page,38.03511629999999,-78.49339979999998,Farm Bell Kitchen,38.033155,-78.497006,Coffee Shop
10th & Page,38.03511629999999,-78.49339979999998,Benny Deluca's,38.03261796963602,-78.49446598221803,Pizza Place
10th & Page,38.03511629999999,-78.49339979999998,Pizza Hut,38.03292584990613,-78.49502921104431,Pizza Place
10th & Page,38.03511629999999,-78.49339979999998,Asian Express,38.03255074803644,-78.49445578677067,Asian Restaurant
10th & Page,38.03511629999999,-78.49339979999998,Purvelo,38.032315,-78.495108,Cycle Studio
10th & Page,38.03511629999999,-78.49339979999998,Renewal Bar & Kitchen,38.032762,-78.49606,Restaurant
10th & Page,38.03511629999999,-78.49339979999998,Star Hill Downtown,38.0377921,-78.491266,Brewery
Belmont-Carlton,38.0221102,-78.46886009999999,Red Lantern,38.02315379446066,-78.47007374443301,Chinese Restaurant
Belmont-Carlton,38.0221102,-78.46886009999999,Beer Run,38.0244708189714,-78.46854019617989,Bar
Belmont-Carlton,38.0221102,-78.46886009999999,Belmont Pizza and Pub,38.023984906581184,-78.46926914523665,Pizza Place
Belmont-Carlton,38.0221102,-78.46886009999999,Pad Thai,38.02453822344134,-78.46855005258749,Thai Restaurant
Belmont-Carlton,38.0221102,-78.46886009999999,Cavalier Produce,38.02359390258789,-78.46981811523438,Farmers Market
Belmont-Carlton,38.0221102,-78.46886009999999,La Guadalupana,38.02359390258789,-78.46981811523438,Food & Drink Shop
Belmont-Carlton,38.0221102,-78.46886009999999,Alexander House Inn & Hostel,38.021180630178144,-78.47308337688446,Bed & Breakfast
Fifeville,38.0269891,-78.49508370000002,La Flor Michoacana,38.0277,-78.49106,Ice Cream Shop
Fifeville,38.0269891,-78.49508370000002,Forest Hills Park,38.0247032725197,-78.49747252682708,Park
Fry's Spring,38.0167778,-78.51070829999998,Albemarle Pavement Marking and Sealcoating,38.0139617919922,-78.5120468139648,Construction & Landscaping
Fry's Spring,38.0167778,-78.51070829999998,Fry's Spring Beach Club,38.01818765977224,-78.51431727592833,Pool
Jefferson Park Avenue,38.0284661,-78.50991069999998,Oakhurst Inn,38.03155229698638,-78.50778561244542,Hotel
Jefferson Park Avenue,38.0284661,-78.50991069999998,Einstein Bros. Bagels,38.03162655233766,-78.51068794727325,Bagel Shop
Jefferson Park Avenue,38.0284661,-78.50991069999998,1800 JPA Pool,38.027929,-78.507979,Pool
Lewis Mountain,38.0402828,-78.51070829999998,Moe's Original Bar B Que,38.04303072825113,-78.51188970411725,BBQ Joint
Lewis Mountain,38.0402828,-78.51070829999998,Wings Over Charlottesville,38.0423268204329,-78.51039066201314,Wings Joint
Lewis Mountain,38.0402828,-78.51070829999998,Foods of All Nations,38.043353023032694,-78.51216312505652,Gourmet Shop
Lewis Mountain,38.0402828,-78.51070829999998,7-Eleven,38.04224525759086,-78.51005360484123,Convenience Store
Lewis Mountain,38.0402828,-78.51070829999998,Wells Fargo,38.04247022693087,-78.51196601986885,Bank
Locust Grove,38.0445054,-78.4609854,Peacock Manor,38.04448424447177,-78.46008768592903,Vacation Rental
Martha Jefferson,38.02443270000001,-78.44304869999998,Greenberry's @ Martha Jefferson Hospital,38.024879603087335,-78.44515615958763,Coffee Shop
Martha Jefferson,38.02443270000001,-78.44304869999998,ACAC Pantops,38.02276696013278,-78.44038970423301,Gym / Fitness Center
The Meadows,38.060242,-78.4972339,Raising Cane's Chicken Fingers,38.060045716411985,-78.49380082238768,Fried Chicken Joint
The Meadows,38.060242,-78.4972339,Cold Stone Creamery,38.059635,-78.49407,Ice Cream Shop
The Meadows,38.060242,-78.4972339,Milan Indian Cuisine,38.060557246747585,-78.49331646595878,Indian Restaurant
The Meadows,38.060242,-78.4972339,Petco,38.05891740006371,-78.49595586602199,Pet Store
The Meadows,38.060242,-78.4972339,World Market,38.05890062536511,-78.49655270576477,Furniture / Home Store
The Meadows,38.060242,-78.4972339,Popeyes Louisiana Kitchen,38.05954581554397,-78.49406472265707,Fried Chicken Joint
The Meadows,38.060242,-78.4972339,The Aberdeen Barn,38.05856619099396,-78.49328107221912,Steakhouse
The Meadows,38.060242,-78.4972339,KFC,38.05925535790747,-78.49450163252357,Fried Chicken Joint
