Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Alanton,36.8806669,-76.02468449999998,Mahanes C M Dr,36.877965,-76.02216700000001,Food
Alanton,36.8806669,-76.02468449999998,Twisted Sisters Cupcakes Mobile,36.879453000000005,-76.030936,Cupcake Shop
Alanton,36.8806669,-76.02468449999998,Alanton / Baycliff Pool,36.88472366333008,-76.02983856201172,Pool
Alanton,36.8806669,-76.02468449999998,Life is Goode,36.87760160502562,-76.01826409077673,Sports Bar
Alanton,36.8806669,-76.02468449999998,Field #2 at Cape Henry Collegiate,36.875805,-76.029456,Soccer Field
Aragona Village,36.8589035,-76.15228789999998,Mazari Kebab,36.856582,-76.14599,Mediterranean Restaurant
Aragona Village,36.8589035,-76.15228789999998,Glory's Baker Inc,36.85651,-76.144942,Bakery
Aragona Village,36.8589035,-76.15228789999998,The Highlander,36.85666759322241,-76.14638287144562,Restaurant
Aragona Village,36.8589035,-76.15228789999998,7-Eleven,36.85673398865447,-76.14520135545997,Convenience Store
Aragona Village,36.8589035,-76.15228789999998,APLL Fields,36.85705819633389,-76.15641229191536,Baseball Field
Aragona Village,36.8589035,-76.15228789999998,Echoes Of Time,36.85588,-76.14864399999999,Clothing Store
Aragona Village,36.8589035,-76.15228789999998,Conditioning Warehouse,36.855654,-76.147984,Athletics & Sports
Aragona Village,36.8589035,-76.15228789999998,Miss Kittys,36.85630241259918,-76.14682687567112,Bar
Aragona Village,36.8589035,-76.15228789999998,Aragona Village & Christ Presbyterian Church Park,36.85851287841797,-76.14557647705078,Playground
Aragona Village,36.8589035,-76.15228789999998,Williams  Farm Community Park,36.86281777368332,-76.15833459649386,Park
Aragona Village,36.8589035,-76.15228789999998,Coffease,36.852888,-76.154942,Coffee Shop
Aragona Village,36.8589035,-76.15228789999998,Hampton Roads Landscaping,36.85300827026367,-76.15558624267578,Garden Center
Aragona Village,36.8589035,-76.15228789999998,Appliance Repair Service,36.85383599703812,-76.14718437194824,Home Service
Aragona Village,36.8589035,-76.15228789999998,Hana Korean restaurant,36.856887696797656,-76.14396797157896,Korean Restaurant
Aragona Village,36.8589035,-76.15228789999998,Hana Asian Market/Hanaro Restaurant,36.856943657914755,-76.14379405975342,Grocery Store
Aragona Village,36.8589035,-76.15228789999998,757 korean bbq,36.856951,-76.143784,Korean Restaurant
Bay Colony,36.8747438,-75.99546109999999,Hospital Ege,36.8774299621582,-75.9995346069336,Shoe Store
Bay Colony,36.8747438,-75.99546109999999,52nd Street at the Oceanfront,36.87750594651977,-75.98907802365272,Surf Spot
Bay Colony,36.8747438,-75.99546109999999,I'm On A Boat!,36.86874506839914,-75.99601017781006,Boat or Ferry
Bay Colony,36.8747438,-75.99546109999999,eat.,36.87632,-76.002856,American Restaurant
Bay Colony,36.8747438,-75.99546109999999,Solution Pharmacy Online,36.880284,-75.990747,Pharmacy
Bayside,36.90292520000001,-76.1343797,Anchor Allie's Bistro,36.90321660253277,-76.13292053185494,Breakfast Spot
Bayside,36.90292520000001,-76.1343797,Tropical Smoothie Cafe,36.9031246,-76.1323817,Smoothie Shop
Bayside,36.90292520000001,-76.1343797,Wawa,36.904992,-76.136115,Convenience Store
Bayside,36.90292520000001,-76.1343797,Rita's Italian Ice & Frozen Custard,36.90418683249001,-76.13174836572028,Ice Cream Shop
Bayside,36.90292520000001,-76.1343797,La Herradura,36.90369374016175,-76.13611421453666,Mexican Restaurant
Bayside,36.90292520000001,-76.1343797,Kroger,36.9029918,-76.1307583,Supermarket
Bayside,36.90292520000001,-76.1343797,Miss Saigon Sandwiches,36.90334865016221,-76.13248387698467,Asian Restaurant
Bayside,36.90292520000001,-76.1343797,New River Taphouse,36.89733442019629,-76.13801716843452,Restaurant
Bayside,36.90292520000001,-76.1343797,Dollar General,36.90376281738281,-76.1378173828125,Discount Store
Bayside,36.90292520000001,-76.1343797,SUBWAY,36.90335461293963,-76.13623346694447,Sandwich Place
Bayside,36.90292520000001,-76.1343797,Chen's Wok,36.90356,-76.13717199999999,Chinese Restaurant
Bayside,36.90292520000001,-76.1343797,ALDI,36.9036631,-76.1371853,Grocery Store
Bayside,36.90292520000001,-76.1343797,Jenna's Cafe,36.9037333523556,-76.13547090138422,Mediterranean Restaurant
