Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ballentine,36.8591836,-76.2495053,Feather-N-Fin Chicken & Seafood,36.86024686805115,-76.24908082111908,American Restaurant
Ballentine,36.8591836,-76.2495053,The Salvation Army Ray And Joan Kroc Corps Community Center,36.85865501412327,-76.2500929343209,Community Center
Ballentine,36.8591836,-76.2495053,Spartan Market,36.860096,-76.25022299999999,Convenience Store
Barraud Park,36.8631486,-76.266739,Barraud Park,36.86635971069336,-76.26487731933594,Park
Berkley,36.8318147,-76.2838292,Family Dollar,36.83143,-76.282143,Discount Store
Berkley,36.8318147,-76.2838292,USS Independence,36.8306826,-76.28659125,Boat or Ferry
Berkley,36.8318147,-76.2838292,Boulevard Pizza,36.828813553354564,-76.28290222347009,Pizza Place
Bowling Green,36.8549669,-76.2504465,7-Eleven,36.8524094639962,-76.2486264110703,Convenience Store
Bowling Green,36.8549669,-76.2504465,Norfolk SPCA,36.85349098491585,-76.24804471160255,Building
Bowling Green,36.8549669,-76.2504465,Flame N' Fry,36.852241,-76.252605,Fried Chicken Joint
Bowling Green,36.8549669,-76.2504465,BP,36.8526604,-76.24864458,Gas Station
Calvert Square,36.8543526,-76.2761515,Attucks Theatre,36.8565661444073,-76.27870534632623,Theater
Calvert Square,36.8543526,-76.2761515,Family Dollar,36.853318,-76.278414,Discount Store
Calvert Square,36.8543526,-76.2761515,Martin Luther King Memorial,36.8532570581787,-76.27992143616414,Plaza
Calvert Square,36.8543526,-76.2761515,Burger King,36.85468589474718,-76.27377927303314,Fast Food Restaurant
Calvert Square,36.8543526,-76.2761515,Fresh Pride,36.85370860060335,-76.27897684641319,Grocery Store
Calvert Square,36.8543526,-76.2761515,Chen Garden Chinese Restaurant,36.855169000000004,-76.27893399999999,Chinese Restaurant
Chesterfield Heights,36.843649,-76.2580499,Great greasy,36.84612029000306,-76.25755492596119,Diner
Colonial Place,36.8848699,-76.29105190000001,LeGrand Kitchen,36.885599031331516,-76.29511743799638,Bistro
Colonial Place,36.8848699,-76.29105190000001,Cogans Pizza,36.884154817869955,-76.29518128880494,Pizza Place
Colonial Place,36.8848699,-76.29105190000001,Sam's Texas Sub Shop,36.88385570145976,-76.29508589111497,Sandwich Place
Colonial Place,36.8848699,-76.29105190000001,Mack's Barge,36.88381325139668,-76.29438727974045,American Restaurant
Colonial Place,36.8848699,-76.29105190000001,starving artist cafe,36.884785,-76.294655,Café
Colonial Place,36.8848699,-76.29105190000001,Nouvelle,36.882700072128586,-76.2944514382819,French Restaurant
