Neighborhood,City,State,Latitude,Longitude
Anderson Heights,Raleigh,NC,35.817114,-78.6412922
Avent West,Raleigh,NC,35.7654028,-78.7037778
Belvidere Park,Raleigh,NC,35.7981893,-78.6193035
Battery Heights,Raleigh,NC,35.7778573,-78.61788469999999
Bloomsbury,Raleigh,NC,35.8091078,-78.64909349999999
Boylan Heights,Raleigh,NC,35.7743696,-78.6519302
Cameron Park,Raleigh,NC,35.7861538,-78.6554759
Cameron Village,Raleigh,NC,35.7937621,-78.65760329999999
Capitol District,Raleigh,NC,35.7803584,-78.63912909999999
Capitol Heights,Raleigh,NC,35.7803584,-78.63912909999999
Country Club Hills,Raleigh,NC,35.8270811,-78.66114879999999
Coley Forest,Raleigh,NC,35.8227763,-78.67249369999999
Depot District,Raleigh,NC,35.7771695,-78.64517579999999
Drewry Hills,Raleigh,NC,35.8281518,-78.64412910000001
Fayetteville Street,Raleigh,NC,35.7737065,-78.63945079999999
Five Points Historic Neighborhoods,Raleigh,NC,35.8027175,-78.6416146
Glenwood-Brooklyn,Raleigh,NC,35.8633075,-78.7130681
Glenwood South,Raleigh,NC,35.7849869,-78.6490087
Glenwood Village,Raleigh,NC,35.8179287,-78.6644482
Hayes Barton,Raleigh,NC,35.8020411,-78.65263929999999
Hi-Mount,Raleigh,NC,35.8099068,-78.6292345
Historic Oakwood,Raleigh,NC,35.7844621,-78.6306531
Longview Gardens,Raleigh,NC,35.7819503,-78.59731
Madonna Acres,Raleigh,NC,35.7900075,-78.61469240000001
Maiden Lane,Raleigh,NC,35.7870576,-78.6631317
Moore Square,Raleigh,NC,35.7768175,-78.63583469999999
Mordecai District,Raleigh,NC,35.7967153,-78.6320717
North Carolina State University,Raleigh,NC,35.7846633,-78.6820946
Raleigh Country Club,Raleigh,NC,35.7762835,-78.5934961
Roanoke Park,Raleigh,NC,35.801682,-78.63994509999999
Rochester Heights,Raleigh,NC,35.7545623,-78.6278158
South Park,Raleigh,NC,35.7678316,-78.632781
State Government District,Raleigh,NC,35.78285450000001,-78.63714
Vanguard Park,Raleigh,NC,35.829994,-78.63119900000001
Victoria Place,Raleigh,NC,35.8102621,-78.6612585
Warehouse District,Raleigh,NC,35.7771695,-78.64517579999999
West Raleigh Historic District,Raleigh,NC,35.7776188,-78.63876549999999
Wayland Heights,Raleigh,NC,35.8128803,-78.6604397
Woodcrest,Raleigh,NC,35.800945,-78.6129188
University Park,Raleigh,NC,35.7962541,-78.66256700000001
Bent Tree,Raleigh,NC,35.8967506,-78.62994379999999
Brentwood Estates,Raleigh,NC,35.8304085,-78.59731
Brier Creek,Raleigh,NC,35.909664,-78.7848626
Brookhaven,Raleigh,NC,35.8596512,-78.6923441
Coachmans Trail,Raleigh,NC,35.9429971,-78.63561820000001
Crabtree Valley,Raleigh,NC,35.8382005,-78.68022909999999
Crossgate,Raleigh,NC,35.9149063,-78.6370367
Dominion Park,Raleigh,NC,35.9129084,-78.7433698
Durant Trails,Raleigh,NC,35.8963786,-78.59092389999999
Fairfax Hills,Raleigh,NC,35.8561933,-78.6207223
Falls Church,Raleigh,NC,35.8623771,-78.6150471
Falls River/Bedford,Raleigh,NC,35.9293431,-78.5632461
Hickory Hills,Raleigh,NC,35.8440396,-78.6280586
Lake Park,Raleigh,NC,35.8674383,-78.663327
Lakemont,Raleigh,NC,35.8483291,-78.62994379999999
Leesville,Raleigh,NC,35.9070164,-78.7260244
Millbrook,Raleigh,NC,35.865662,-78.6033424
New Hope,Raleigh,NC,35.8395953,-78.5805577
North Hills,Raleigh,NC,35.8395428,-78.6422671
North Pointe,Raleigh,NC,35.8868264,-78.6017446
North Ridge,Raleigh,NC,35.8804669,-78.6143377
North Ridge Country Club,Raleigh,NC,35.8743707,-78.62066709999999
Oak Park,Raleigh,NC,35.8460601,-78.705103
Pinecrest,Raleigh,NC,35.8257054,-78.6168438
Quail Hollow,Raleigh,NC,35.8475162,-78.6214317
Quail Meadows,Raleigh,NC,35.8526267,-78.6185941
Quail Ridge,Raleigh,NC,35.8567559,-78.60901679999999
Skycrest,Raleigh,NC,35.8104378,-78.5750836
Southall,Raleigh,NC,35.8178595,-78.5646656
Springdale/Leesville,Raleigh,NC,35.9050318,-78.72280830000001
Stonebridge,Raleigh,NC,35.9271563,-78.6668214
Stonehenge,Raleigh,NC,35.8928764,-78.6880908
Summerfield,Raleigh,NC,35.8933944,-78.6381301
Summit Ridge,Raleigh,NC,35.8345954,-78.57333550000001
Tadlock Plantation,Raleigh,NC,35.9537661,-78.6639852
Tealbriar,Raleigh,NC,35.8699049,-78.6093716
Thorpshire,Raleigh,NC,35.893512,-78.607271
Timberlake,Raleigh,NC,35.8049102,-78.58925479999999
Village on the Green,Raleigh,NC,35.8728935,-78.65476679999999
Wakefield Plantation,Raleigh,NC,35.9584705,-78.5553882
Westlake,Raleigh,NC,,
Wood Valley,Raleigh,NC,35.9256952,-78.7123897
Asbury,Raleigh,NC,35.7901515,-78.737505
Brandywine,Raleigh,NC,35.8013764,-78.7446957
Laurel Hills,Raleigh,NC,35.838928,-78.70085019999999
Medfield,Raleigh,NC,35.8021914,-78.7600709
Olde Raleigh,Raleigh,NC,35.8286982,-78.7065205
Trinity Woods,Raleigh,NC,35.8004317,-78.7470105
Tysonville,Raleigh,NC,35.8207064,-78.7047267
Umstead,Raleigh,NC,35.8905776,-78.7501817
Westover,Raleigh,NC,35.79416150000001,-78.7185689
Biltmore Hills,Raleigh,NC,35.7508564,-78.62426909999999
Carolina Pines,Raleigh,NC,35.7484407,-78.6554759
Hedingham,Raleigh,NC,35.8093575,-78.5462098
Lake Wheeler,Raleigh,NC,35.7480461,-78.6734512
Parkland,Raleigh,NC,35.7493187,-78.64861479999999
Renaissance Park,Raleigh,NC,35.7352372,-78.6583124
Rhamkatte,Raleigh,NC,35.7482078,-78.6733374
Skycrest Village,Raleigh,NC,35.8750777,-78.5266855
Southall,Raleigh,NC,35.8178595,-78.5646656
Southgate,Raleigh,NC,35.7519249,-78.6072432
Swift Creek,Raleigh,NC,35.710555,-78.72494689999999
Trailwood,Raleigh,NC,35.7592845,-78.6916352
Walnut Creek,Raleigh,NC,35.7493881,-78.5763028
Wilder's Grove,Raleigh,NC,35.7988044,-78.5645282
