Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Avent West,35.7654028,-78.7037778,The Pool @ The Summit,35.765214530036374,-78.70241455804273,Pool
Avent West,35.7654028,-78.7037778,Tabacco & Gifts @ Avent Ferry Shopping Center,35.76727011636644,-78.70276342036182,Smoke Shop
Avent West,35.7654028,-78.7037778,Wilderness,35.76329723056195,-78.70268589550771,Clothing Store
Avent West,35.7654028,-78.7037778,Clarion Crossing Pool and Clubhouse,35.76605085147211,-78.70048100004706,Pool
Avent West,35.7654028,-78.7037778,Lake Johnson Waterfall,35.76210273888831,-78.7043526665599,Lake
Belvidere Park,35.7981893,-78.6193035,Lions Park and Community Center,35.79710322023757,-78.6153380590551,Park
Belvidere Park,35.7981893,-78.6193035,Spenser's Rub 'N Tug,35.798847,-78.617123,Spa
Belvidere Park,35.7981893,-78.6193035,Lion's Park Baseball Field,35.79713734289251,-78.6160696441558,Baseball Field
Belvidere Park,35.7981893,-78.6193035,Bag End,35.799798,-78.622674,Brewery
Battery Heights,35.7778573,-78.61788469999998,Jack's Seafood Restaurant,35.77979317754135,-78.61617468883739,Southern / Soul Food Restaurant
Battery Heights,35.7778573,-78.61788469999998,Church's Chicken,35.78035294990363,-78.61741334283363,Fried Chicken Joint
Battery Heights,35.7778573,-78.61788469999998,Roberts Park,35.77552032470703,-78.61830139160156,Park
Battery Heights,35.7778573,-78.61788469999998,ABC Store,35.779477,-78.620391,Wine Bar
Battery Heights,35.7778573,-78.61788469999998,KFC,35.780182,-78.621114,Fried Chicken Joint
Bloomsbury,35.8091078,-78.64909349999998,Balcome's Pool Cabana,35.810272,-78.64808000000001,Beach
Bloomsbury,35.8091078,-78.64909349999998,The Pepper King @ MFM,35.80640796961916,-78.64976111707006,Farmers Market
Bloomsbury,35.8091078,-78.64909349999998,Martian Creations @ MFM,35.806227,-78.649612,Arts & Crafts Store
Bloomsbury,35.8091078,-78.64909349999998,The Pleasant Bee @ MFM,35.806217,-78.649654,Gourmet Shop
Boylan Heights,35.7743696,-78.65193020000001,Boulted Bread,35.77253500609877,-78.64872944350167,Bakery
Boylan Heights,35.7743696,-78.65193020000001,The Saturday Market at Rebus  Works,35.776723,-78.64966928958893,Farmers Market
Boylan Heights,35.7743696,-78.65193020000001,Rebus Works,35.776923191751585,-78.64971001209481,Art Gallery
Boylan Heights,35.7743696,-78.65193020000001,Lenoir Street Park,35.773460388183594,-78.64859771728516,Park
Cameron Park,35.786153799999994,-78.65547590000001,The Green Monkey,35.782886,-78.656054,Bar
Cameron Park,35.786153799999994,-78.65547590000001,Pipes By George,35.782819,-78.655836,Smoke Shop
Cameron Park,35.786153799999994,-78.65547590000001,Cameron Park,35.78544323585051,-78.65438461303711,Neighborhood
Cameron Park,35.786153799999994,-78.65547590000001,PNC Bank,35.78875044572381,-78.65850448608398,Bank
Cameron Park,35.786153799999994,-78.65547590000001,Jade Garden Chinese Restaurant,35.782852848681586,-78.65568366064004,Chinese Restaurant
Cameron Park,35.786153799999994,-78.65547590000001,Cutie Pies Of Raleigh,35.782849,-78.655696,Bakery
