Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Arts District,37.543453,-77.438963,Pop's Market on Grace,37.542080357609365,-77.43851241380321,Café
Arts District,37.543453,-77.438963,Secret Sandwich Society,37.54178707961536,-77.43822813034058,Sandwich Place
Arts District,37.543453,-77.438963,Perly's,37.54384800818421,-77.44143577650136,Deli / Bodega
Arts District,37.543453,-77.438963,Rappahannock Restaurant,37.54281,-77.439207,Seafood Restaurant
Arts District,37.543453,-77.438963,Salt & Forge,37.545206,-77.44018299999999,Sandwich Place
Arts District,37.543453,-77.438963,Soul Taco,37.544576,-77.43943399999999,Taco Place
Arts District,37.543453,-77.438963,Dominion Energy Center,37.54154888345216,-77.43696212768555,Performing Arts Venue
Arts District,37.543453,-77.438963,Jkogi,37.54532134001139,-77.43934119653908,Korean Restaurant
Arts District,37.543453,-77.438963,Carpenter Theatre,37.54160048378776,-77.43687725243652,General Entertainment
Arts District,37.543453,-77.438963,707 Fine Clothing,37.54393081083916,-77.43874311447144,Men's Store
Arts District,37.543453,-77.438963,Wong Gonzalez,37.542402068655186,-77.43853969028625,Asian Restaurant
Arts District,37.543453,-77.438963,Penny Lane Pub,37.541188960535656,-77.43924215447322,Pub
Arts District,37.543453,-77.438963,Lucy's,37.54574619938642,-77.43905013464105,Café
Arts District,37.543453,-77.438963,Greenleaf's Pool Room,37.54098240521079,-77.43799328176922,Sports Bar
Arts District,37.543453,-77.438963,Godfrey's Restaurant and Nightclub,37.543019726929764,-77.4396184158943,Gay Bar
Arts District,37.543453,-77.438963,Mama Js,37.54646916644014,-77.43969620490937,Southern / Soul Food Restaurant
Arts District,37.543453,-77.438963,The National,37.54189345405843,-77.43533156308092,Music Venue
Arts District,37.543453,-77.438963,Tarrant's Cafe,37.5455129909066,-77.4420846885243,New American Restaurant
Arts District,37.543453,-77.438963,Cafe Rustika,37.54074,-77.44015,German Restaurant
Arts District,37.543453,-77.438963,Hilton,37.5423849,-77.4378458,Hotel
Arts District,37.543453,-77.438963,Richmond Marriott,37.5431723593463,-77.43663556873798,Hotel
Arts District,37.543453,-77.438963,Chez Foushee,37.54488331545177,-77.44252801663737,French Restaurant
Arts District,37.543453,-77.438963,Vagabond,37.54203986453328,-77.43560639663632,American Restaurant
Arts District,37.543453,-77.438963,Linden Row Inn,37.54364651026506,-77.44228375468717,Hotel
Biotech and MCV,37.5434554,-77.430753,The Valentine,37.54154166414663,-77.43103242327882,Museum
Biotech and MCV,37.5434554,-77.430753,Barnes & Noble,37.543330966368025,-77.42902980118572,Bookstore
Biotech and MCV,37.5434554,-77.430753,Christopher's Runaway Gourmay,37.54022092771283,-77.43085666209379,Food Truck
Biotech and MCV,37.5434554,-77.430753,Confederate White House,37.540734110255805,-77.42953499011759,History Museum
Biotech and MCV,37.5434554,-77.430753,The Library of Virginia,37.54117507368081,-77.4340463997427,Library
Biotech and MCV,37.5434554,-77.430753,Panera Bread,37.540031,-77.42967879999999,Coffee Shop
Biotech and MCV,37.5434554,-77.430753,Starbucks,37.5447216,-77.4296058,Coffee Shop
Biotech and MCV,37.5434554,-77.430753,John Marshall House,37.541946,-77.43305500000001,History Museum
Biotech and MCV,37.5434554,-77.430753,MCV Campus Recreation & Aquatic Center,37.54483083494511,-77.4296523035288,College Gym
Biotech and MCV,37.5434554,-77.430753,Einstein Bros Bagels,37.540501,-77.430384,Bagel Shop
Biotech and MCV,37.5434554,-77.430753,Richmond City Hall Observation Deck,37.54118649234692,-77.433070151048,Scenic Lookout
Biotech and MCV,37.5434554,-77.430753,Au Bon Pain,37.54046756021956,-77.42953984096472,Café
Biotech and MCV,37.5434554,-77.430753,Wendy’s,37.5404516,-77.4306884,Fast Food Restaurant
City Center,37.5429163,-77.4379257,Dominion Energy Center,37.54154888345216,-77.43696212768555,Performing Arts Venue
City Center,37.5429163,-77.4379257,Carpenter Theatre,37.54160048378776,-77.43687725243652,General Entertainment
City Center,37.5429163,-77.4379257,Pop's Market on Grace,37.542080357609365,-77.43851241380321,Café
City Center,37.5429163,-77.4379257,Secret Sandwich Society,37.54178707961536,-77.43822813034058,Sandwich Place
City Center,37.5429163,-77.4379257,Rappahannock Restaurant,37.54281,-77.439207,Seafood Restaurant
City Center,37.5429163,-77.4379257,The National,37.54189345405843,-77.43533156308092,Music Venue
City Center,37.5429163,-77.4379257,Greenleaf's Pool Room,37.54098240521079,-77.43799328176922,Sports Bar
City Center,37.5429163,-77.4379257,707 Fine Clothing,37.54393081083916,-77.43874311447144,Men's Store
City Center,37.5429163,-77.4379257,Penny Lane Pub,37.541188960535656,-77.43924215447322,Pub
City Center,37.5429163,-77.4379257,Soul Taco,37.544576,-77.43943399999999,Taco Place
City Center,37.5429163,-77.4379257,Wong Gonzalez,37.542402068655186,-77.43853969028625,Asian Restaurant
City Center,37.5429163,-77.4379257,Perly's,37.54384800818421,-77.44143577650136,Deli / Bodega
City Center,37.5429163,-77.4379257,Salt & Forge,37.545206,-77.44018299999999,Sandwich Place
City Center,37.5429163,-77.4379257,Vagabond,37.54203986453328,-77.43560639663632,American Restaurant
City Center,37.5429163,-77.4379257,Godfrey's Restaurant and Nightclub,37.543019726929764,-77.4396184158943,Gay Bar
City Center,37.5429163,-77.4379257,Cafe Rustika,37.54074,-77.44015,German Restaurant
City Center,37.5429163,-77.4379257,Jkogi,37.54532134001139,-77.43934119653908,Korean Restaurant
City Center,37.5429163,-77.4379257,Hilton,37.5423849,-77.4378458,Hotel
City Center,37.5429163,-77.4379257,Lucy's,37.54574619938642,-77.43905013464105,Café
City Center,37.5429163,-77.4379257,Richmond Marriott,37.5431723593463,-77.43663556873798,Hotel
City Center,37.5429163,-77.4379257,Sefton Coffee Company,37.539498175239615,-77.43668523218093,Coffee Shop
City Center,37.5429163,-77.4379257,The Library of Virginia,37.54117507368081,-77.4340463997427,Library
City Center,37.5429163,-77.4379257,Linden Row Inn,37.54364651026506,-77.44228375468717,Hotel
Court End,37.5441544,-77.43209569999998,The National,37.54189345405843,-77.43533156308092,Music Venue
Court End,37.5441544,-77.43209569999998,The Valentine,37.54154166414663,-77.43103242327882,Museum
Court End,37.5441544,-77.43209569999998,Barnes & Noble,37.543330966368025,-77.42902980118572,Bookstore
Court End,37.5441544,-77.43209569999998,The Library of Virginia,37.54117507368081,-77.4340463997427,Library
Court End,37.5441544,-77.43209569999998,Vagabond,37.54203986453328,-77.43560639663632,American Restaurant
Court End,37.5441544,-77.43209569999998,Starbucks,37.5447216,-77.4296058,Coffee Shop
Court End,37.5441544,-77.43209569999998,John Marshall House,37.541946,-77.43305500000001,History Museum
Court End,37.5441544,-77.43209569999998,MCV Campus Recreation & Aquatic Center,37.54483083494511,-77.4296523035288,College Gym
Court End,37.5441544,-77.43209569999998,Richmond City Hall Observation Deck,37.54118649234692,-77.433070151048,Scenic Lookout
Court End,37.5441544,-77.43209569999998,Richmond Marriott Hotel Concierge Lounge,37.5431780787125,-77.43643844423681,Hotel
Gambles Hill,37.537863,-77.44581509999998,Virginia War Memorial,37.536980890009396,-77.44831685099355,Monument / Landmark
Gambles Hill,37.537863,-77.44581509999998,Tredegar Iron Works,37.5351588907056,-77.44562739255825,Historic Site
Gambles Hill,37.537863,-77.44581509999998,The American Civil War Center At Historic Tredegar,37.53514322482142,-77.44552653664267,History Museum
Gambles Hill,37.537863,-77.44581509999998,Richmond Ballet,37.53865851255742,-77.44172683000035,Dance Studio
Gambles Hill,37.537863,-77.44581509999998,Gamble's Hill Park,37.537561017366386,-77.44672652949278,Park
Gambles Hill,37.537863,-77.44581509999998,Fireworks On The James,37.53582702570146,-77.4478237883254,Scenic Lookout
Gambles Hill,37.537863,-77.44581509999998,National Park Service Visitors Center,37.53516005981863,-77.44586330630948,Tourist Information Center
Gambles Hill,37.537863,-77.44581509999998,Holiday Inn Express Richmond - Downtown,37.5407675,-77.4434733,Hotel
Jackson Ward,37.54773839999999,-77.44007739999998,Mama Js,37.54646916644014,-77.43969620490937,Southern / Soul Food Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Saison,37.54694753906145,-77.44205598639057,Cocktail Bar
Jackson Ward,37.54773839999999,-77.44007739999998,Saison Market,37.54684405613228,-77.4422189062302,Food & Drink Shop
Jackson Ward,37.54773839999999,-77.44007739999998,Max's on Broad,37.54635273903762,-77.44248361261603,French Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Gallery 5,37.54755322340729,-77.44281483461361,Art Gallery
Jackson Ward,37.54773839999999,-77.44007739999998,Salt & Forge,37.545206,-77.44018299999999,Sandwich Place
Jackson Ward,37.54773839999999,-77.44007739999998,YMCA,37.549067959418274,-77.43893536059726,Gym
Jackson Ward,37.54773839999999,-77.44007739999998,Lucy's,37.54574619938642,-77.43905013464105,Café
Jackson Ward,37.54773839999999,-77.44007739999998,Stoplight Gelato Cafe,37.547618,-77.442327,Café
Jackson Ward,37.54773839999999,-77.44007739999998,Tarrant's Cafe,37.5455129909066,-77.4420846885243,New American Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Jkogi,37.54532134001139,-77.43934119653908,Korean Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Virginia Repertory Theatre,37.546514125625585,-77.44334987026785,Performing Arts Venue
Jackson Ward,37.54773839999999,-77.44007739999998,Quirk Hotel,37.5465,-77.444085,Hotel
Jackson Ward,37.54773839999999,-77.44007739999998,GWARbar,37.548828293606164,-77.4429964274168,Bar
Jackson Ward,37.54773839999999,-77.44007739999998,Comfort,37.54682178060564,-77.44364314661638,Southern / Soul Food Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,First Fridays Art Walk,37.547044655647056,-77.44384559168917,Art Gallery
Jackson Ward,37.54773839999999,-77.44007739999998,Soul Taco,37.544576,-77.43943399999999,Taco Place
Jackson Ward,37.54773839999999,-77.44007739999998,Chez Foushee,37.54488331545177,-77.44252801663737,French Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Quirk Hotel Rooftop,37.54645959797033,-77.44410636599878,Hotel Bar
Jackson Ward,37.54773839999999,-77.44007739999998,Bar Solita,37.546172999999996,-77.443547,Mediterranean Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Ledbury,37.54681454251017,-77.44431138038635,Men's Store
Jackson Ward,37.54773839999999,-77.44007739999998,Lift Coffee Shop & Café,37.547101402129336,-77.4442346260153,Coffee Shop
Jackson Ward,37.54773839999999,-77.44007739999998,Round Two,37.54633396663224,-77.44300326470415,Men's Store
Jackson Ward,37.54773839999999,-77.44007739999998,The Coalition Theater,37.54591788025318,-77.44217603445006,Comedy Club
Jackson Ward,37.54773839999999,-77.44007739999998,Hippodrome Theater,37.54724596115778,-77.43810516618335,Music Venue
Jackson Ward,37.54773839999999,-77.44007739999998,Barcode,37.54481861571483,-77.44248612795207,Gay Bar
Jackson Ward,37.54773839999999,-77.44007739999998,Maggie L Walker National Historic Site,37.547709999999995,-77.437478,History Museum
Jackson Ward,37.54773839999999,-77.44007739999998,Maple & Pine,37.54651746959265,-77.44393029401641,American Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Thai Corner,37.545306096890904,-77.43929549925566,Thai Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,The Speakeasy Grill,37.54721451981759,-77.43825391954442,Southern / Soul Food Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,Bistro 27,37.54612553221586,-77.44295271050176,Italian Restaurant
Jackson Ward,37.54773839999999,-77.44007739999998,The Space Station,37.54971060508758,-77.44060129844331,Smoke Shop
Jackson Ward,37.54773839999999,-77.44007739999998,Black History Museum and Cultural Center of Virginia,37.550058,-77.441363,History Museum
Jackson Ward,37.54773839999999,-77.44007739999998,Abner Clay Park,37.54952639336526,-77.44255124732696,Park
Monroe Ward,37.5431096,-77.44581509999998,Triple Crossing Beer,37.541583,-77.445468,Brewery
Monroe Ward,37.5431096,-77.44581509999998,The Jefferson Hotel,37.54422542138484,-77.44569685078602,Hotel
Monroe Ward,37.5431096,-77.44581509999998,Madison+Main,37.54154379234975,-77.44431565840011,Advertising Agency
Monroe Ward,37.5431096,-77.44581509999998,Lemaire,37.5446620702017,-77.44503580223473,New American Restaurant
Monroe Ward,37.5431096,-77.44581509999998,TJ's,37.5441116321625,-77.44604285030887,New American Restaurant
Monroe Ward,37.5431096,-77.44581509999998,Graduate Richmond,37.5454682,-77.4465266,Hotel
Monroe Ward,37.5431096,-77.44581509999998,Perly's,37.54384800818421,-77.44143577650136,Deli / Bodega
Monroe Ward,37.5431096,-77.44581509999998,Chez Foushee,37.54488331545177,-77.44252801663737,French Restaurant
Monroe Ward,37.5431096,-77.44581509999998,Bar Solita,37.546172999999996,-77.443547,Mediterranean Restaurant
Monroe Ward,37.5431096,-77.44581509999998,Linden Row Inn,37.54364651026506,-77.44228375468717,Hotel
Monroe Ward,37.5431096,-77.44581509999998,The Commonwealth Club,37.54570655061937,-77.44763760854697,Lounge
Monroe Ward,37.5431096,-77.44581509999998,Chili's Grill & Bar,37.54373744,-77.44828263,Tex-Mex Restaurant
Monroe Ward,37.5431096,-77.44581509999998,Starbucks,37.54388744489345,-77.44855257388645,Coffee Shop
Midtown,37.5616852,-77.47031070000001,Sabai,37.56173900414727,-77.46908053030096,Thai Restaurant
Midtown,37.5616852,-77.47031070000001,Historic Monument Avenue,37.561056842981095,-77.4719981744968,Monument / Landmark
Midtown,37.5616852,-77.47031070000001,En Su Boca,37.563634273810585,-77.46946181619711,Mexican Restaurant
Midtown,37.5616852,-77.47031070000001,ALDI,37.56325563600076,-77.46846735477448,Market
Midtown,37.5616852,-77.47031070000001,Peter Chang,37.56308013311515,-77.47093483130138,Szechuan Restaurant
Midtown,37.5616852,-77.47031070000001,The Broadberry,37.56174479948325,-77.46931124606114,Music Venue
Midtown,37.5616852,-77.47031070000001,Victoria's Secret PINK,37.562749429852126,-77.46989187209486,Lingerie Store
Midtown,37.5616852,-77.47031070000001,Children's Museum of Richmond,37.562427390665356,-77.46721549260185,Museum
Midtown,37.5616852,-77.47031070000001,Boho Cycle Studio,37.56130293191687,-77.47397406631679,Gym / Fitness Center
Midtown,37.5616852,-77.47031070000001,Starbucks,37.56423461758045,-77.46885221078263,Coffee Shop
Midtown,37.5616852,-77.47031070000001,The HofGarden,37.563197693515896,-77.47097601344116,Beer Garden
Midtown,37.5616852,-77.47031070000001,Lalo's Cocina,37.56099196676017,-77.46814159228944,Latin American Restaurant
Midtown,37.5616852,-77.47031070000001,Akida Japanese,37.56055931888508,-77.47419748880056,Sushi Restaurant
Midtown,37.5616852,-77.47031070000001,River City Roll,37.56390395305964,-77.46832637940582,Bowling Alley
Midtown,37.5616852,-77.47031070000001,Growlers To Go,37.564237943621485,-77.46905540905657,Beer Store
Midtown,37.5616852,-77.47031070000001,Science Museum of Virginia,37.56119703344915,-77.46588691437216,Science Museum
Midtown,37.5616852,-77.47031070000001,Gus' Bar & Grill,37.5612217447379,-77.46835285948019,Sports Bar
Midtown,37.5616852,-77.47031070000001,Bingo Beer Co.,37.563651978596944,-77.47164654593305,Brewery
