City,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Baltimore, MD",Barre Circle,Ethiopian Restaurant,American Restaurant,Chinese Restaurant,Bar,Bakery,Coffee Shop,Bistro,Convenience Store,Restaurant,Bus Stop
"Baltimore, MD",Bromo Arts District,Chinese Restaurant,Lounge,Coffee Shop,Vegetarian / Vegan Restaurant,Noodle House,Seafood Restaurant,Taco Place,Library,Food Court,Dumpling Restaurant
"Baltimore, MD",Brooklyn,Chinese Restaurant,Fast Food Restaurant,Bus Stop,Pizza Place,Fish Market,Eye Doctor,Falafel Restaurant,Farmers Market,Filipino Restaurant,Film Studio
"Baltimore, MD",Canton,Pub,Bar,Irish Pub,Park,Café,Pharmacy,Dive Bar,Restaurant,Seafood Restaurant,Pizza Place
"Baltimore, MD",Cathedral Hill,Indian Restaurant,Wine Bar,Sandwich Place,Lounge,Gay Bar,Convenience Store,French Restaurant,Sushi Restaurant,Spa,Café
"Baltimore, MD",Charles Center,Hotel,Café,Hotel Bar,Food Truck,Bar,Bank,BBQ Joint,French Restaurant,New American Restaurant,Mediterranean Restaurant
"Baltimore, MD",Dolfield,Fried Chicken Joint,Pizza Place,Grocery Store,Financial or Legal Service,Metro Station,Chinese Restaurant,Gas Station,Liquor Store,Food,Deli / Bodega
"Baltimore, MD",Downtown,Café,Vietnamese Restaurant,Coffee Shop,Sandwich Place,Chinese Restaurant,Bar,Thai Restaurant,Liquor Store,Middle Eastern Restaurant,Non-Profit
"Baltimore, MD",Evergreen,Chinese Restaurant,North Indian Restaurant,Dessert Shop,Cosmetics Shop,American Restaurant,Sandwich Place,Bagel Shop,Coffee Shop,Electronics Store,Smoothie Shop
"Baltimore, MD",Federal Hill,Hookah Bar,Thai Restaurant,Park,Café,Food Court,Donut Shop,Sandwich Place,Sushi Restaurant,Coffee Shop,Bookstore
"Baltimore, MD",Fells Point,Deli / Bodega,Diner,Taco Place,Farmers Market,Tattoo Parlor,Sushi Restaurant,Bistro,Mexican Restaurant,Snack Place,Flower Shop
"Baltimore, MD",Four by Four,Clothing Store,Hotel,Seafood Restaurant,American Restaurant,Cosmetics Shop,Ice Cream Shop,Japanese Restaurant,River,Steakhouse,Hawaiian Restaurant
"Baltimore, MD",Gay Street,Breakfast Spot,Vegetarian / Vegan Restaurant,Southern / Soul Food Restaurant,Farmers Market,Coffee Shop,Café,Rock Club,Donut Shop,Grocery Store,Hotel
"Baltimore, MD",Harbor East,Clothing Store,Italian Restaurant,Hotel,Seafood Restaurant,American Restaurant,Cosmetics Shop,Ice Cream Shop,Hawaiian Restaurant,Speakeasy,Middle Eastern Restaurant
"Baltimore, MD",Hilton,Outdoor Sculpture,Sandwich Place,Hotel,Hotel Bar,Sports Bar,Convenience Store,Monument / Landmark,Thai Restaurant,Lounge,Mexican Restaurant
"Baltimore, MD",Hollins Market,History Museum,Bus Stop,Deli / Bodega,Clothing Store,Market,American Restaurant,Salad Place,Financial or Legal Service,Falafel Restaurant,Farmers Market
"Baltimore, MD",Inner Harbor,Coffee Shop,Seafood Restaurant,Clothing Store,Bank,Hotel,Hotel Bar,American Restaurant,Lounge,Gourmet Shop,Gift Shop
"Baltimore, MD",Little Italy,Italian Restaurant,Clothing Store,Hotel,American Restaurant,Pizza Place,Women's Store,Seafood Restaurant,Mobile Phone Shop,Cosmetics Shop,Monument / Landmark
"Baltimore, MD",Midtown-Belvedere,Pizza Place,Bar,Sandwich Place,Sushi Restaurant,Deli / Bodega,Theater,Thai Restaurant,Liquor Store,Sports Bar,Soup Place
"Baltimore, MD",Mount Vernon,Indian Restaurant,Wine Bar,Ice Cream Shop,Donut Shop,French Restaurant,Café,Nightclub,Chinese Restaurant,Liquor Store,Greek Restaurant
"Baltimore, MD",Old Goucher,Korean Restaurant,Coffee Shop,Bar,Rock Club,Latin American Restaurant,Gay Bar,Sake Bar,Park,Cocktail Bar,American Restaurant
"Baltimore, MD",Preston Gardens,Café,Italian Restaurant,Non-Profit,Coffee Shop,Garden,Liquor Store,Comic Shop,Middle Eastern Restaurant,Bar,Deli / Bodega
"Baltimore, MD",Remington,Pizza Place,Pharmacy,Pub,Korean Restaurant,Diner,Convenience Store,Coffee Shop,Sandwich Place,Food Court,Food Truck
"Baltimore, MD",Rosebank,Bar,Pizza Place,Bookstore,French Restaurant,Burger Joint,Furniture / Home Store,Mexican Restaurant,Movie Theater,Dive Bar,Food & Drink Shop
"Baltimore, MD",South Balto.Imp.Comm./West Federal Hill,Pizza Place,Café,Bar,Pub,Gym,Sushi Restaurant,Sandwich Place,Mexican Restaurant,Thai Restaurant,Burger Joint
"Baltimore, MD",Station North,Bar,Theater,Music Venue,Tapas Restaurant,Nightclub,Chinese Restaurant,Arts & Crafts Store,Art Gallery,Rock Club,Italian Restaurant
"Baltimore, MD",Station North Arts and Entertainment District,Bar,Theater,Music Venue,Tapas Restaurant,Nightclub,Chinese Restaurant,Arts & Crafts Store,Art Gallery,Rock Club,Italian Restaurant
"Baltimore, MD",West Pratt,Gym,Discount Store,Market,Sandwich Place,Shopping Mall,Peruvian Restaurant,Chinese Restaurant,Grocery Store,Pizza Place,Wings Joint
"Baltimore, MD",Wyman Park,Bakery,Pizza Place,Gift Shop,Ice Cream Shop,Pie Shop,Convenience Store,Pet Store,Donut Shop,Salon / Barbershop,Seafood Restaurant
"Charlotte, NC",Ballantyne,Grocery Store,Burger Joint,Home Service,American Restaurant,Pizza Place,Video Store,Salon / Barbershop,Coffee Shop,Pharmacy,Yoga Studio
"Charlotte, NC",Brooklyn,Hotel,American Restaurant,Gym,Steakhouse,Hotel Bar,Coffee Shop,Pizza Place,French Restaurant,Sandwich Place,Bar
"Charlotte, NC",Cherry,Pizza Place,Sandwich Place,Ice Cream Shop,New American Restaurant,Italian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Mexican Restaurant,Mobile Phone Shop,Chinese Restaurant
"Charlotte, NC",Derita,Ice Cream Shop,Video Store,Fried Chicken Joint,Supermarket,Chinese Restaurant,Scenic Lookout,Sandwich Place,Donut Shop,Pharmacy,Bank
"Charlotte, NC",Dilworth,Supermarket,Bar,American Restaurant,Convenience Store,Arts & Crafts Store,Smoothie Shop,Massage Studio,Gift Shop,Sandwich Place,Bank
"Charlotte, NC",Elizabeth,Bar,Sandwich Place,Yoga Studio,Beer Store,Brewery,Food Truck,Burger Joint,Café,Cajun / Creole Restaurant,Caribbean Restaurant
"Charlotte, NC","Madison Park, Charlotte",Deli / Bodega,Bar,Spa,American Restaurant,Coffee Shop,Pizza Place,Italian Restaurant,Salon / Barbershop,Grocery Store,Gym
"Charlotte, NC",NoDa,Bar,Brewery,Gastropub,Pizza Place,Coffee Shop,Salon / Barbershop,Sports Bar,Burrito Place,Light Rail Station,Taco Place
"Charlotte, NC",Old North Charlotte,Bar,Brewery,Gastropub,Pizza Place,Coffee Shop,Salon / Barbershop,Sports Bar,Burrito Place,Light Rail Station,Taco Place
"Charlotte, NC",Plaza-Midwood,Seafood Restaurant,Dive Bar,Brewery,Fast Food Restaurant,Lounge,Bar,Eastern European Restaurant,Pharmacy,Sports Club,Pizza Place
"Charlotte, NC",Sedgefield,Breakfast Spot,Fast Food Restaurant,Smoke Shop,Miscellaneous Shop,Golf Course,Bank,Market,Park,Coffee Shop,Seafood Restaurant
"Charlotte, NC",South End,Bar,American Restaurant,Coffee Shop,Ice Cream Shop,Burger Joint,Gift Shop,Thai Restaurant,Sports Bar,Italian Restaurant,Mexican Restaurant
"Charlotte, NC",SouthPark,Clothing Store,American Restaurant,Women's Store,Boutique,Coffee Shop,Department Store,Furniture / Home Store,Cosmetics Shop,Ice Cream Shop,Shopping Mall
"Charlotte, NC",Uptown Charlotte,Hotel,Steakhouse,Pizza Place,American Restaurant,Theater,Restaurant,Pub,Park,Seafood Restaurant,Irish Pub
"Charlottesville, VA",10th & Page,Hotel,Pizza Place,Brewery,Bubble Tea Shop,Asian Restaurant,Restaurant,Donut Shop,Coffee Shop,Sandwich Place,Sports Bar
"Charlottesville, VA",Rose Hill,Bakery,Coffee Shop,Middle Eastern Restaurant,Gourmet Shop,Gym,Salon / Barbershop,Bike Shop,Bagel Shop,BBQ Joint,Chinese Restaurant
"Charlottesville, VA",Starr Hill,Hotel,Southern / Soul Food Restaurant,Italian Restaurant,Coffee Shop,Seafood Restaurant,Speakeasy,Gym / Fitness Center,Grocery Store,Gourmet Shop,Tapas Restaurant
"Charlottesville, VA",The Meadows,Fried Chicken Joint,Hotel,Ice Cream Shop,American Restaurant,Pet Store,Furniture / Home Store,Steakhouse,Indian Restaurant,Hookah Bar,Ethiopian Restaurant
"Norfolk, VA",Colonial Place,River,American Restaurant,Speakeasy,Sandwich Place,Bistro,Café,Restaurant,Seafood Restaurant,Intersection,French Restaurant
"Norfolk, VA",Cottage Road Park,Cosmetics Shop,Shoe Store,Hawaiian Restaurant,Fried Chicken Joint,Gas Station,Big Box Store,Fast Food Restaurant,Eye Doctor,Chinese Restaurant,Gun Shop
"Norfolk, VA",Downtown Norfolk,Clothing Store,American Restaurant,Cosmetics Shop,Pizza Place,Bar,Italian Restaurant,Nightclub,Shoe Store,Kids Store,Accessories Store
"Norfolk, VA",Freemason District,Nightclub,Bar,Italian Restaurant,American Restaurant,New American Restaurant,Bakery,Art Gallery,Gym,Park,Music Venue
"Norfolk, VA",Ghent,Coffee Shop,Mobile Phone Shop,Pharmacy,Shoe Repair,Bar,Sandwich Place,Taco Place,Park,Gastropub,Gift Shop
"Norfolk, VA",Highland Park,Pizza Place,Sandwich Place,Café,Grocery Store,Bistro,Mexican Restaurant,Fried Chicken Joint,Speakeasy,Burrito Place,Chinese Restaurant
"Norfolk, VA",Kensington,Bar,Business Service,Liquor Store,Grocery Store,BBQ Joint,New American Restaurant,Supermarket,Arts & Crafts Store,Gym,Convenience Store
"Norfolk, VA",North Ghent,Coffee Shop,Mobile Phone Shop,Pharmacy,Shoe Repair,Bar,Sandwich Place,Taco Place,Park,Gastropub,Gift Shop
"Norfolk, VA",Riverview,Yoga Studio,Bakery,Gift Shop,Gay Bar,Garden Center,Mexican Restaurant,Brazilian Restaurant,Breakfast Spot,Flower Shop,Fast Food Restaurant
"Norfolk, VA",Tidewater Park,Clothing Store,Cosmetics Shop,Kids Store,Accessories Store,Nightclub,Shoe Store,Spa,Theater,Lingerie Store,Pizza Place
"Norfolk, VA",Wards Corner Business District,Clothing Store,American Restaurant,Cosmetics Shop,Pizza Place,Bar,Italian Restaurant,Nightclub,Shoe Store,Kids Store,Accessories Store
"Norfolk, VA",West Freemason,Gym,Bakery,New American Restaurant,Park,Museum,American Restaurant,Science Museum,History Museum,French Restaurant,Restaurant
"Raleigh, NC",Brier Creek,Clothing Store,Furniture / Home Store,Mobile Phone Shop,Jewelry Store,Spa,Sandwich Place,Fast Food Restaurant,Supplement Shop,Pizza Place,Cosmetics Shop
"Raleigh, NC",Cameron Village,Spa,Sporting Goods Shop,Deli / Bodega,Jewelry Store,Fast Food Restaurant,Gym,Mediterranean Restaurant,Boutique,Mexican Restaurant,Dry Cleaner
"Raleigh, NC",Capitol District,Bar,Cocktail Bar,American Restaurant,Science Museum,Italian Restaurant,Gastropub,Music Venue,Mediterranean Restaurant,Diner,Speakeasy
"Raleigh, NC",Capitol Heights,Bar,Cocktail Bar,American Restaurant,Science Museum,Italian Restaurant,Gastropub,Music Venue,Mediterranean Restaurant,Diner,Speakeasy
"Raleigh, NC",Crabtree Valley,Clothing Store,Shoe Store,Accessories Store,Toy / Game Store,Women's Store,Cosmetics Shop,Mobile Phone Shop,Sandwich Place,American Restaurant,Coffee Shop
"Raleigh, NC",Depot District,American Restaurant,Gay Bar,Art Gallery,Clothing Store,Beer Store,Wine Bar,Coffee Shop,Lounge,Bar,Nightclub
"Raleigh, NC",Fayetteville Street,Performing Arts Venue,Cocktail Bar,Coffee Shop,Italian Restaurant,Yoga Studio,Gastropub,Salad Place,Plaza,Music Venue,Korean Restaurant
"Raleigh, NC",Glenwood South,Bar,American Restaurant,Sushi Restaurant,Mexican Restaurant,Seafood Restaurant,Wine Shop,Restaurant,Cocktail Bar,Sandwich Place,Nightclub
"Raleigh, NC",Glenwood-Brooklyn,Furniture / Home Store,Pharmacy,Video Store,Grocery Store,Gas Station,Rock Climbing Spot,Liquor Store,Mattress Store,Italian Restaurant,Gym / Fitness Center
"Raleigh, NC",Hi-Mount,Restaurant,Burger Joint,Antique Shop,Sandwich Place,Bar,Gift Shop,Tapas Restaurant,Coffee Shop,Shopping Plaza,Surf Spot
"Raleigh, NC",Leesville,Pizza Place,Shopping Plaza,Pharmacy,Ice Cream Shop,Jewelry Store,Mexican Restaurant,Supermarket,Shipping Store,Eye Doctor,Chinese Restaurant
"Raleigh, NC",Maiden Lane,Mexican Restaurant,Café,Jewelry Store,Yoga Studio,Hotel,Sports Bar,Southern / Soul Food Restaurant,Salad Place,Mediterranean Restaurant,Latin American Restaurant
"Raleigh, NC",Moore Square,Bar,Italian Restaurant,Cocktail Bar,Music Venue,Coffee Shop,Ice Cream Shop,Brewery,American Restaurant,Art Gallery,Asian Restaurant
"Raleigh, NC",North Hills,American Restaurant,Coffee Shop,Clothing Store,Sporting Goods Shop,Ice Cream Shop,Mediterranean Restaurant,Big Box Store,Sushi Restaurant,Bookstore,Steakhouse
"Raleigh, NC",North Ridge Country Club,Sandwich Place,Fast Food Restaurant,Mexican Restaurant,Department Store,Furniture / Home Store,Bakery,BBQ Joint,Clothing Store,Mediterranean Restaurant,Shopping Mall
"Raleigh, NC",Olde Raleigh,Sandwich Place,Burger Joint,Italian Restaurant,Salon / Barbershop,Shipping Store,Spa,Bakery,Supermarket,Chinese Restaurant,Doctor's Office
"Raleigh, NC",Parkland,Food,Mexican Restaurant,Warehouse Store,Nightclub,Pawn Shop,Video Store,Kitchen Supply Store,Fried Chicken Joint,Convenience Store,Motel
"Raleigh, NC",Springdale/Leesville,Pizza Place,Chinese Restaurant,Mediterranean Restaurant,Dance Studio,Hobby Shop,Martial Arts School,Sandwich Place,Salon / Barbershop,Tanning Salon,Supermarket
"Raleigh, NC",State Government District,Science Museum,Plaza,Café,Historic Site,History Museum,Bakery,Mexican Restaurant,Theater,Cosmetics Shop,Film Studio
