Neighborhood,City,State,Latitude,Longitude
Adams Morgan,Washington,DC,38.9212418,-77.0434934
Columbia Heights,Washington,DC,38.9276414,-77.0297181
Howard University,Washington,DC,38.9226843,-77.0194377
Kalorama,Washington,DC,38.9145007,-77.046174
LeDroit Park,Washington,DC,38.9177643,-77.018303
Lanier Heights,Washington,DC,38.9256541,-77.0427737
Mount Pleasant,Washington,DC,38.9311878,-77.04061469999999
Park View,Washington,DC,38.93181060000001,-77.0233415
Pleasant Plains,Washington,DC,38.92121710000001,-77.0204624
Shaw,Washington,DC,38.9126289,-77.02294619999999
U Street Corridor,Washington,DC,38.9170008,-77.0252725
Burleith,Washington,DC,38.9145261,-77.0751538
Chinatown,Washington,DC,38.9003692,-77.0209563
Downtown,Washington,DC,38.9037406,-77.0362967
Dupont Circle,Washington,DC,38.9096936,-77.043339
Federal Triangle,Washington,DC,38.893794,-77.0281107
Foggy Bottom,Washington,DC,38.9006918,-77.0518254
Georgetown,Washington,DC,38.9097057,-77.06535650000001
Logan Circle,Washington,DC,38.909641,-77.0296369
Mount Vernon Square,Washington,DC,38.9042772,-77.0234435
Penn Quarter,Washington,DC,38.8973308,-77.02194250000001
Sheridan Kalorama,Washington,DC,38.9145007,-77.046174
Southwest Federal Center,Washington,DC,38.88561929999999,-77.02191239999999
West End,Washington,DC,38.9068048,-77.0521289
American University Park,Washington,DC,38.9455047,-77.0881034
Berkley,Washington,DC,38.9215975,-77.0924196
Cathedral Heights,Washington,DC,38.9334728,-77.07983519999999
Chevy Chase,Washington,DC,38.9610151,-77.06620889999999
Cleveland Park,Washington,DC,38.9346348,-77.0663921
Colony Hill,Washington,DC,38.913167,-77.08720029999999
Forest Hills,Washington,DC,38.9474093,-77.0593246
Foxhall,Washington,DC,38.9223334,-77.0941448
Friendship Heights,Washington,DC,38.9565712,-77.083787
Glover Park,Washington,DC,38.9209446,-77.07719999999999
Kent,Washington,DC,38.9337221,-77.1035895
Massachusetts Heights,Washington,DC,38.9190471,-77.06007679999999
McLean Gardens,Washington,DC,38.93707390000001,-77.0758733
North Cleveland Park,Washington,DC,38.9439719,-77.0724122
Observatory Circle,Washington,DC,38.9201358,-77.0714351
The Palisades,Washington,DC,38.9320344,-77.1053673
Potomac Heights,Washington,DC,38.9276111,-77.10775629999999
Spring Valley,Washington,DC,38.9416599,-77.09961299999999
Tenleytown,Washington,DC,38.9459817,-77.0809093
Wakefield,Washington,DC,38.9507566,-77.07166339999999
Wesley Heights,Washington,DC,38.9289785,-77.0895421
Woodland Normanstone,Washington,DC,38.9206149,-77.0607637
Woodley Park,Washington,DC,38.9279945,-77.0578855
"Woodmont, Washington, D.C.",Washington,DC,38.8635903,-76.9752358
Barnaby Woods,Washington,DC,38.9745158,-77.0607637
Brightwood,Washington,DC,38.9649218,-77.0276835
Brightwood Park,Washington,DC,38.9543155,-77.019762
Colonial Village,Washington,DC,,
Crestwood,Washington,DC,38.9403344,-77.0420541
Fort Totten,Washington,DC,38.9505016,-77.00888909999999
Hawthorne,Washington,DC,38.9815654,-77.05500719999999
Manor Park,Washington,DC,38.9623788,-77.0106965
Petworth,Washington,DC,38.9424059,-77.02557999999999
Riggs Park,Washington,DC,38.9542775,-76.99414260000002
Shepherd Park,Washington,DC,38.9827023,-77.0316156
Sixteenth Street Heights,Washington,DC,38.9540781,-77.0334384
Takoma,Washington,DC,38.9736113,-77.0227898
Arboretum,Washington,DC,38.9162514,-76.9707869
Bloomingdale,Washington,DC,38.9176761,-77.01182460000001
Brentwood,Washington,DC,38.9194596,-76.99123689999999
Brookland,Washington,DC,38.9328037,-76.9863578
Carver Langston,Washington,DC,38.9009362,-76.9772675
Eckington,Washington,DC,38.9141343,-77.0031863
Edgewood,Washington,DC,38.9256162,-77.0005917
Fort Lincoln,Washington,DC,38.9214178,-76.9555116
Gateway,Washington,DC,38.9198479,-76.96286580000002
Ivy City,Washington,DC,38.9147513,-76.9859077
Langdon,Washington,DC,38.9245066,-76.9761563
Michigan Park,Washington,DC,38.9452287,-76.9830277
North Michigan Park,Washington,DC,38.9462889,-76.9949575
Pleasant Hill,Washington,DC,38.944336,-77.003937
Queens Chapel,Washington,DC,38.9545537,-76.997427
Stronghold,Washington,DC,38.9256143,-77.0082254
Trinidad,Washington,DC,38.9089568,-76.9822523
Truxton Circle,Washington,DC,38.9099729,-77.01182460000001
Woodridge,Washington,DC,38.9330005,-76.9680338
Barney Circle,Washington,DC,38.8858518,-76.9801476
Capitol Hill,Washington,DC,38.8860434,-76.999525
Judiciary Square,Washington,DC,38.8987163,-77.0163184
Kingman Park,Washington,DC,38.8958,-76.9772675
Mount Vernon Triangle,Washington,DC,38.9024949,-77.01896049999999
Navy Yard,Washington,DC,38.8764653,-77.0005547
Near Northeast,Washington,DC,38.9025149,-76.99847609999999
NoMa,Washington,DC,38.9037551,-77.0059094
Southwest Waterfront,Washington,DC,38.8764794,-77.01757889999999
Sursum Corda,Washington,DC,38.9046633,-77.01216939999999
Swampoodle,Washington,DC,38.9035189,-77.0022905
Benning Heights,Washington,DC,38.8817789,-76.9360851
Benning Ridge,Washington,DC,38.8824087,-76.938379
Benning,Washington,DC,38.8925405,-76.9484624
Burrville,Washington,DC,38.8998716,-76.92253199999999
Capitol View,Washington,DC,38.8899271,-76.9254134
Central Northeast,Washington,DC,38.8959453,-76.9413632
Civic Betterment,Washington,DC,38.8794409,-76.92990379999999
Deanwood,Washington,DC,38.902971,-76.93269269999999
Dupont Park,Washington,DC,38.8736226,-76.96286580000002
East Corner,Washington,DC,38.8624808,-77.01701589999999
East River Heights,Washington,DC,38.8920564,-76.9435854
Eastland Gardens,Washington,DC,38.9054506,-76.9434208
Fairfax Village,Washington,DC,38.8638871,-76.950623
Fairlawn,Washington,DC,38.8694706,-76.9774233
Fort Davis,Washington,DC,38.8667792,-76.9460854
Fort Dupont,Washington,DC,38.887404,-76.9484624
Fort Stanton,Washington,DC,38.85558210000001,-76.9794276
Good Hope,Washington,DC,38.8626125,-76.96386369999999
Greenway,Washington,DC,38.8835718,-76.95998519999999
Hillbrook,Washington,DC,38.8950622,-76.9349311
Hillcrest,Washington,DC,38.8633458,-76.96286580000002
Kenilworth,Washington,DC,38.9095355,-76.9398195
Lincoln Heights,Washington,DC,38.8957169,-76.9311761
Marshall Heights,Washington,DC,38.8851176,-76.9282948
Mayfair,Washington,DC,38.902698,-76.949742
Naylor Gardens,Washington,DC,38.8582068,-76.96286580000002
Northeast Boundary,Washington,DC,38.8937543,-76.91388730000001
