Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Adams Morgan,38.9212418,-77.0434934,Lapis,38.92130182752878,-77.04388976097107,Afghan Restaurant
Adams Morgan,38.9212418,-77.0434934,Donburi,38.92167272762819,-77.04238543401978,Japanese Restaurant
Adams Morgan,38.9212418,-77.0434934,Tryst,38.921946640988615,-77.04216778278351,Coffee Shop
Adams Morgan,38.9212418,-77.0434934,Amsterdam Falafelshop,38.92116201283401,-77.04195857048035,Falafel Restaurant
Adams Morgan,38.9212418,-77.0434934,So's Your Mom,38.92167118741206,-77.04375296831131,Bagel Shop
Adams Morgan,38.9212418,-77.0434934,Insomnia Cookies,38.9202980106693,-77.04197231769044,Dessert Shop
Adams Morgan,38.9212418,-77.0434934,Pitango Gelato & Café,38.921412427017536,-77.04380124807358,Ice Cream Shop
Adams Morgan,38.9212418,-77.0434934,Smoke & Barrel,38.92226591538694,-77.04228579998015,BBQ Joint
Adams Morgan,38.9212418,-77.0434934,Mintwood Place,38.92205306594768,-77.04361081123352,New American Restaurant
Adams Morgan,38.9212418,-77.0434934,Highroad Hostel DC,38.92047561057825,-77.04223003279161,Hostel
Adams Morgan,38.9212418,-77.0434934,Lapop,38.92130165884072,-77.04377668986253,Lounge
Adams Morgan,38.9212418,-77.0434934,DC Arts Center (District of Columbia Arts Center),38.92171437759719,-77.04250249046736,Art Gallery
Adams Morgan,38.9212418,-77.0434934,The LINE Hotel,38.9228152,-77.0416876,Hotel
Adams Morgan,38.9212418,-77.0434934,The Green Zone,38.919483171588396,-77.04184457659721,Cocktail Bar
Adams Morgan,38.9212418,-77.0434934,Songbyrd Music House & Record Cafe,38.92237233986714,-77.04233676195145,Café
Adams Morgan,38.9212418,-77.0434934,Astor Mediterranean,38.92172335673212,-77.04375833272934,Mediterranean Restaurant
Adams Morgan,38.9212418,-77.0434934,Joy's Spa,38.922201631670426,-77.0424916623165,Spa
Adams Morgan,38.9212418,-77.0434934,The Diner,38.92182143495001,-77.04217314720154,Diner
Adams Morgan,38.9212418,-77.0434934,Zenebech,38.921310174666026,-77.04247087240219,Ethiopian Restaurant
Adams Morgan,38.9212418,-77.0434934,BUL,38.92131226145016,-77.04195588827133,Korean Restaurant
Adams Morgan,38.9212418,-77.0434934,Grill from Ipanema,38.92095,-77.04351,Brazilian Restaurant
Adams Morgan,38.9212418,-77.0434934,Bossa,38.92207184680626,-77.04221874475479,Bar
Adams Morgan,38.9212418,-77.0434934,Meze,38.92146158530156,-77.04226095998818,Eastern European Restaurant
Adams Morgan,38.9212418,-77.0434934,Sakuramen,38.92159188997208,-77.04206317663191,Ramen Restaurant
Adams Morgan,38.9212418,-77.0434934,Julia's Empanadas,38.92196750864022,-77.04270422458649,Empanada Restaurant
Adams Morgan,38.9212418,-77.0434934,Spoken English,38.922809484599284,-77.04190677688023,Asian Restaurant
Adams Morgan,38.9212418,-77.0434934,Smash Records,38.92015826044408,-77.04208999872208,Record Shop
Adams Morgan,38.9212418,-77.0434934,Tibet Shop,38.920789,-77.041755,Jewelry Store
Adams Morgan,38.9212418,-77.0434934,Rise Bakery,38.920768675712154,-77.04201680274043,Bakery
Adams Morgan,38.9212418,-77.0434934,Brothers and Sisters,38.92289647025928,-77.04182646048172,Asian Restaurant
Adams Morgan,38.9212418,-77.0434934,Philz Coffee,38.92345642664474,-77.04323574933046,Coffee Shop
Adams Morgan,38.9212418,-77.0434934,Jug & Table,38.9218775371988,-77.04246651406757,Wine Bar
Adams Morgan,38.9212418,-77.0434934,Roofers Union,38.92187986446219,-77.0427256822586,Bar
Adams Morgan,38.9212418,-77.0434934,Madam's Organ Blues Bar,38.921979217581075,-77.04235981999567,Bar
Adams Morgan,38.9212418,-77.0434934,Club Timehri,38.92150002384921,-77.0421926026246,Nightclub
Adams Morgan,38.9212418,-77.0434934,Jyoti,38.92134191599264,-77.04220184383753,Indian Restaurant
Adams Morgan,38.9212418,-77.0434934,Fleet Feet,38.92147085686653,-77.04377174377441,Sporting Goods Shop
Adams Morgan,38.9212418,-77.0434934,Osteria Al Volo,38.922699,-77.042355,Italian Restaurant
Adams Morgan,38.9212418,-77.0434934,Perry's,38.922097648350935,-77.04346472437895,Sushi Restaurant
Adams Morgan,38.9212418,-77.0434934,Yes! Organic Market,38.92168925413449,-77.0434903882006,Grocery Store
Adams Morgan,38.9212418,-77.0434934,Nicecream,38.92300231416906,-77.04224074023952,Ice Cream Shop
Adams Morgan,38.9212418,-77.0434934,Muzette,38.91982019511209,-77.04141408205032,Karaoke Bar
